"Product Name",Completed,Brand,Stage,"Next Action",Type,Sampling,"Stage Entered Date","Packaging Status","AMZ Listing","Listing Notes",Assignee,"Due Date","MISC Documents",SPEC,Proposal,PWF,"Print Files","Packaging Mockups","PDP Link","GV Label Link","GV Box Link","Uploaded to GV","Spec Status","R&D Recommendation","Parked Code","Parked Reason","Hold Reason","Sampling Quotes Status","Purchasing Status"
"HC-304 - Liver Detox Capsules",false,DON,":gear: In Production",,":pill: Supplement / Capsule",Requested,,"In Progress",Approved,":white_check_mark: ASIN B0GCN5B7DQ
:white_check_mark: UPC 850076186548",,,"F0AJX8P000Y,F0AJ6JDRUQL,F0AJFTNC9AM",F0AUNKFA1ML,F0AKA6D68MP,F0B0QGF29GX,,,"{""originalUrl"":""https:\/\/www.amazon.com\/dp\/B0GCN5B7DQ"",""attachment"":{},""displayAsUrl"":false}",,,false,":lock: Locked",":hourglass_flowing_sand: *Changes Required.* Looks like the formula got updated since I last touched it. We brought the liver blend down from 100mg to 40mg. Here are a few tweaks I'd make:

• Pull Glutathione out. At 10mg buried in a blend, it's basically pixie dust. But honestly, that's not even the main reason for its removal. NAC at 200mg is already the body's go-to precursor for making glutathione, so having both is redundant. We don't lose any keyword value as well since you can still use ""glutathione"" search terms in the bullets due to the inclusion of NAC.
• Bump Dandelion up to 100mg as a hero. Dandelion root is a strong keyword ingredient in the liver/detox space, and hiding it at 10mg in a blend is a waste. 
• Drop DHM from 300mg → 200mg to make room for the dandelion move above. 200mg is still a solid dose for alcohol metabolism support, so we're not losing anything here.
• Add Ginger + Artichoke to the blend. Ginger makes total sense for the after-drinking use case (nausea, gut stuff), and artichoke supports bile flow and liver function. Neither one is expensive either.
Claude Chat: https://claude.ai/share/a391d632-3ce2-4988-921e-ddf14608a368",,,,":black_square_button: Not Started",":outbox_tray: Quotes Out"
"HC369 - Joint Support for Women",false,DON,":microscope: Niche Analysis",,":pill: Supplement / Capsule",,,"Not Started","Not Started",,,,F0AHJHME3U6,,F0AUELR8QNM,,,,,,,false,,":white_check_mark: *Proceed*",,,,":black_square_button: Not Started",":black_square_button: Not Started"
"H540 - Kids Sleep Gummies",false,DON,":double_vertical_bar: Hold",,":green_salad: Food",,,"Not Started","Not Started",,,,"F0AHH7HMXCM,F0AHJJ4JS5U,F0AHLL16QGJ,F0AHQ8DT552",,,,,,,,,false,,"test test Test",,,,":black_square_button: Not Started",":black_square_button: Not Started"
"H125 - Mushroom Powder w/ Supergreens + Matcha",false,PN,":no_entry_sign: Parked",,":pill: Supplement / Capsule",,,"Not Started","Not Started",":hourglass_flowing_sand: Currently waiting on JiaHerb R&D to confirm the appropriate filler percentage needed to improve palatability in the formula.",,,"F0AHNM65AHG,F0AHK8T1YHK",,,,,,,,,false,,":x: *Rejected.* The formula does not makes sense. Too bitter and expensive.",":grey_question: Other",":x: *Rejected.* The formula does not makes sense. Too bitter and expensive.",,":black_square_button: Not Started",":black_square_button: Not Started"
"HC-307- Magnesium Complex for Women",false,DON,":gear: In Production",,":pill: Supplement / Capsule",Approved,,"In Progress",Listed/Pending,":hourglass_flowing_sand: ASIN B0GJTY59BZ - Inactive/Blocked/Processing (_waiting for Amazon to clear_)
:white_check_mark: UPC 850076186531
:white_check_mark: KW List",,,,F0B0G5TU802,F0AL4L7HCPK,F0B147LLMHC,,,,,,false,":lock: Locked",":white_check_mark: *Proceed*",,,,":black_square_button: Not Started",":outbox_tray: Quotes Out"
"HC301 - Red Yeast Rice Capsules",false,DON,":no_entry_sign: Parked",,":pill: Supplement / Capsule",Requested,,"In Progress",Listed/Pending,":hourglass_flowing_sand: ASIN B0GF4CP55B - Inactive/Blocked/Processing (_waiting for Amazon to clear_)
:white_check_mark: UPC 850076186555
:white_check_mark: KW List",,,F0AJ1K55TND,F0ANZ9JKCV7,F0AJPTMN64V,F0AKV9ANMQU,,,,,,false,,,,,,":black_square_button: Not Started",":black_square_button: Not Started"
"HP203- Mushroom Spiced Chai+",false,PN,":gear: In Production",,":green_salad: Food",Approved,,"In Progress",Approved,":white_check_mark: ASIN B0GS3WL2H7
:white_check_mark: UPC 850076186791",,,F0AKSSTETDG,F0AK4F2ASP6,,,F0ANQ6G1DDE,,"{""originalUrl"":""https:\/\/www.amazon.com\/dp\/B0GS3WL2H7"",""attachment"":{},""displayAsUrl"":false}",,,false,":lock: Locked",,,,,":black_square_button: Not Started",":black_square_button: Not Started"
"H248 - Magnesium Gummy w/ KSM-66 and Elderberry",false,DON,":no_entry_sign: Parked",,":green_salad: Food",,,"Not Started",Approved,":white_check_mark: ASIN B0GLR85N8S
:white_check_mark: UPC 850076186715",,,"F0AJH44HRFS,F0AJ1P1DA8Z,F0AH7C72PPH,F0AH7C86Y15,F0AHKD59NQM,F0AHGE0A7A7,F0AHKD9A9AR,F0AJ1PA6H7B,F0AHGE5HF8T",,,,,,"{""originalUrl"":""https:\/\/www.amazon.com\/dp\/B0GLR85N8S"",""attachment"":{},""displayAsUrl"":false}",,,false,,,,,,":black_square_button: Not Started",":black_square_button: Not Started"
"HC-1745 - Joint Support for Men",false,DON,":microscope: Niche Analysis",,":pill: Supplement / Capsule",,,"Not Started",Listed/Pending,":hourglass_flowing_sand: ASIN B0GNP79CVT - Inactive/Blocked/Processing (_waiting for Amazon to clear_)
:white_check_mark: UPC 850076186777
:white_check_mark: KW List",,,"F0AJH5G29GQ,F0AHLQZFSRL,F0AHSF62ZUL,F0AH7DKBS6B,F0AHKEFGXC5",,F0AU2463ZT8,,,,,,,false,,":white_check_mark: *Proceed*",,,,":black_square_button: Not Started",":black_square_button: Not Started"
"HC302- Cellpeak NAD+ LONGEVITY COMPLEX",false,DON,":no_entry_sign: Parked",,":pill: Supplement / Capsule",Requested,,"In Progress",Listed/Pending,":hourglass_flowing_sand: ASIN B0GNWFQS6Y - Inactive/Blocked/Processing (_waiting for Amazon to clear_)
:white_check_mark: UPC 850076186784
:white_check_mark: KW List",,,,F0ANLCAC72N,F0AJR362LSX,F0ALKT2BRNC,,,,,,false,,":x: *Rejected.* No differentiation.",,,,":black_square_button: Not Started",":black_square_button: Not Started"
"HT504- Liver Cleans Herbal Tea",false,PN,":white_check_mark: Launched",,":green_salad: Food",,,"In Progress",Approved,":white_check_mark: ASIN B0GMPT35NV
:white_check_mark: UPC 850076186722",,,"F0AHSH9U9SQ,F0AHLT52ZNJ,F0AHGHDQ79R,F0AHKGLLC2Z",,,,F0AKX54PW13,,"{""originalUrl"":""https:\/\/www.amazon.com\/dp\/B0GMPT35NV"",""attachment"":{},""displayAsUrl"":false}",,,false,,,,,,":black_square_button: Not Started",":black_square_button: Not Started"
"HC-303- GLP-1 Probiotic w/ Akkermansiatr",false,DON,":gear: In Production",,":pill: Supplement / Capsule",Approved,,"In Progress",Approved,":white_check_mark: ASIN B0GFPT1QM6
:white_check_mark: UPC 850076186630",,,"F0AJ6AKK0VA,F0AHM99319V",F0ANZ9HK6HX,F0AJS9AT3J9,F0B0ZAAN5KM,,,"{""originalUrl"":""https:\/\/www.amazon.com\/dp\/B0GFPT1QM6"",""attachment"":{},""displayAsUrl"":false}",,,false,":lock: Locked",":white_check_mark: *Proceed.* Variation strategy with the trending, GLP-1 Vitamin Capsules, currently in IDEAS list.",,,,":black_square_button: Not Started",":outbox_tray: Quotes Out"
"Hair Growth + Calm Capsules",false,DON,":mag:  Vetting",,":pill: Supplement / Capsule",,,,,,,,,,,,,,,,,false,,"Niche Analysis",,,,":black_square_button: Not Started",":black_square_button: Not Started"
